sentence_id annotator_id adj_subj subj landmark verb adj_obj obj annotator_score
67 1 dummy user accept receive dummy responsibility 2
68 1 dummy user write spell dummy word 4
69 1 dummy user write publish dummy word 1
70 1 dummy user write spell dummy software 2
71 1 dummy user write publish dummy software 1
72 1 dummy man write publish dummy song 1
73 1 dummy man try test dummy experiment 5
74 1 dummy management accept bear dummy responsibility 5
75 1 dummy man write spell dummy song 3
76 1 dummy map show express dummy area 6
77 1 dummy management accept receive dummy responsibility 2
78 1 dummy map show express dummy location 7
79 1 dummy map show picture dummy area 7
80 1 dummy claimant draw attract dummy benefit 1
81 1 dummy cinema show picture dummy film 6
82 1 dummy teacher write publish dummy book 1
83 1 dummy child show express dummy sign 3
84 1 dummy child show picture dummy interest 2
85 1 dummy child show express dummy interest 6
86 1 dummy child meet visit dummy house 6
87 1 dummy cinema show express dummy film 2
88 1 dummy child write spell dummy word 5
89 1 dummy child write publish dummy word 2
90 1 dummy child show picture dummy sign 2
91 1 dummy people buy bribe dummy product 1
92 1 dummy people buy purchase dummy house 7
93 1 dummy people buy bribe dummy house 1
94 1 dummy patient draw depict dummy figure 6
95 1 dummy people run move dummy company 1
96 1 dummy people buy purchase dummy security 7
97 1 dummy people buy bribe dummy security 2
98 1 dummy people buy purchase dummy product 7
99 1 dummy people run move dummy round 5
100 1 dummy people run operate dummy company 7
101 1 dummy representative meet visit dummy official 4
102 1 dummy river meet satisfy dummy sea 1
103 1 dummy tribunal try test dummy crime 5
104 1 dummy producer say state dummy favour 7
105 1 dummy proposal draw attract dummy criticism 7
106 1 dummy priest say state dummy prayer 7
107 1 dummy producer say allege dummy favour 1
108 1 dummy report draw depict dummy attention 1
109 1 dummy representative meet satisfy dummy official 1
110 1 dummy proposal draw depict dummy criticism 1
111 1 dummy report draw attract dummy attention 7
112 1 dummy man say state dummy success 7
113 1 dummy man try judge dummy experiment 3
114 1 dummy man say state dummy sentence 7
115 1 dummy man say allege dummy success 3
116 1 dummy man provide supply dummy money 7
117 1 dummy man say allege dummy sentence 1
118 1 dummy man draw depict dummy sword 6
119 1 dummy man provide leave dummy money 4
120 1 dummy male draw depict dummy female 7
121 1 dummy man draw attract dummy sword 1
122 1 dummy user accept bear dummy responsibility 6
123 1 dummy member accept receive dummy share 4
124 1 dummy model buy bribe dummy behaviour 1
125 1 dummy model buy purchase dummy behaviour 2
126 1 dummy mother provide leave dummy baby 2
127 1 dummy mother provide supply dummy baby 7
128 1 dummy parent draw attract dummy line 1
129 1 dummy parent draw depict dummy line 5
130 1 dummy patient accept bear dummy treatment 5
131 1 dummy patient accept receive dummy treatment 6
132 1 dummy patient draw attract dummy figure 3
133 1 dummy service meet satisfy dummy need 6
134 1 dummy school provide supply dummy education 7
135 1 dummy scholar write spell dummy book 2
136 1 dummy table show express dummy result 7
137 1 dummy firm buy bribe dummy politician 6
138 1 dummy figure show picture dummy increase 7
139 1 dummy weapon buy bribe dummy chance 1
140 1 dummy family run move dummy hotel 1
141 1 dummy family provide supply dummy home 7
142 1 dummy figure show express dummy increase 7
143 1 dummy family run operate dummy hotel 7
144 1 dummy employer provide leave dummy training 1
145 1 dummy employee buy purchase dummy property 7
146 1 dummy family provide leave dummy home 1
147 1 dummy employer provide supply dummy training 7
148 1 dummy service meet visit dummy need 3
149 1 dummy shareholder accept bear dummy offer 3
150 1 dummy shareholder accept receive dummy offer 4
151 1 dummy shiver run move dummy spine 2
152 1 dummy shiver run operate dummy spine 1
153 1 dummy sight meet satisfy dummy eye 1
154 1 dummy society accept bear dummy charge 3
155 1 dummy society accept receive dummy charge 2
156 1 dummy speaker say allege dummy word 1
157 1 dummy speaker say state dummy word 7
158 1 dummy table show picture dummy result 6
159 1 dummy user run move dummy application 3
160 1 dummy spokesman say state dummy decision 7
161 1 dummy spokesman say allege dummy decision 1
162 1 dummy specialist write spell dummy papers 2
163 1 dummy specialist write publish dummy papers 1
164 1 dummy student write spell dummy name 4
165 1 dummy student write publish dummy name 1
166 1 dummy student meet visit dummy requirement 4
167 1 dummy student meet satisfy dummy requirement 6
168 1 dummy study provide supply dummy evidence 7
169 1 dummy study provide leave dummy evidence 4
170 1 dummy child meet satisfy dummy house 1
171 1 dummy child draw depict dummy picture 6
172 1 dummy beach meet satisfy dummy standard 7
173 1 dummy artist show picture dummy work 5
174 1 dummy artist show express dummy work 2
175 1 dummy child draw attract dummy picture 1
176 1 dummy boy meet visit dummy girl 5
177 1 dummy boy meet satisfy dummy girl 1
178 1 dummy beach meet visit dummy standard 2
179 1 dummy sweat run move dummy face 1
180 1 dummy sweat run operate dummy face 1
181 1 dummy survey say allege dummy recovery 1
182 1 dummy survey say state dummy recovery 7
183 1 dummy supporter buy bribe dummy ticket 1
184 1 dummy supporter buy purchase dummy ticket 7
185 1 dummy study show express dummy correlation 5
186 1 dummy study show picture dummy correlation 4
187 1 dummy study provide leave dummy information 1
188 1 dummy study provide supply dummy information 7
189 1 dummy company provide supply dummy service 7
190 1 dummy court try judge dummy case 7
191 1 dummy claimant draw depict dummy benefit 2
192 1 dummy company provide leave dummy service 1
193 1 dummy court try test dummy offence 2
194 1 dummy demonstrator try judge dummy building 1
195 1 dummy court try test dummy case 2
196 1 dummy court try judge dummy offence 7
197 1 dummy demonstrator try test dummy building 3
198 1 dummy employee buy bribe dummy property 1
199 1 dummy writer write spell dummy book 3
1 2 dummy table draw depict dummy eye 5
2 2 dummy table draw attract dummy eye 7
3 2 dummy system meet visit dummy criterion 2
4 2 dummy system meet satisfy dummy criterion 7
5 2 dummy system meet visit dummy requirement 2
6 2 dummy system meet satisfy dummy requirement 7
7 2 dummy system provide supply dummy facility 7
8 2 dummy system provide leave dummy facility 3
9 2 dummy system run operate dummy application 6
10 2 dummy system run move dummy application 2
11 2 dummy woman draw depict dummy hair 6
12 2 dummy woman draw attract dummy hair 6
13 2 dummy magazine accept bear dummy liability 5
14 2 dummy machine run operate dummy program 6
15 2 dummy machine run move dummy program 2
16 2 dummy lawyer accept receive dummy conviction 3
17 2 dummy lawyer accept bear dummy conviction 3
18 2 dummy justice try test dummy king 3
19 2 dummy justice try judge dummy king 6
20 2 dummy judge try test dummy action 3
21 2 dummy male draw attract dummy female 5
22 2 dummy magazine accept receive dummy liability 3
23 2 dummy teacher write spell dummy book 5
24 2 dummy user run operate dummy application 6
25 2 dummy scholar write publish dummy book 7
26 2 dummy people try test dummy program 6
27 2 dummy people try judge dummy sniffing 4
28 2 dummy runway run operate dummy parallel 4
29 2 dummy people say state dummy success 7
30 2 dummy people try judge dummy door 4
31 2 dummy people try test dummy door 6
32 2 dummy people try judge dummy program 5
33 2 dummy people run operate dummy round 5
34 2 dummy people say allege dummy prayer 3
35 2 dummy people say state dummy prayer 7
36 2 dummy people say allege dummy success 3
37 2 dummy government accept receive dummy recommendation 6
38 2 dummy government provide leave dummy cash 4
39 2 dummy government provide supply dummy cash 7
40 2 dummy investor buy bribe dummy share 2
41 2 dummy firm buy purchase dummy politician 6
42 2 dummy government accept bear dummy proposal 2
43 2 dummy government accept receive dummy proposal 6
44 2 dummy government accept bear dummy recommendation 3
45 2 dummy road run move dummy parallel 4
46 2 dummy writer write publish dummy book 7
47 2 dummy investor buy purchase dummy share 7
48 2 dummy judge try judge dummy action 6
49 2 dummy river meet visit dummy sea 5
50 2 dummy runway run move dummy parallel 5
51 2 dummy school provide leave dummy education 2
52 2 dummy road run operate dummy parallel 3
53 2 dummy tribunal try judge dummy crime 7
54 2 dummy priest say allege dummy prayer 3
55 2 dummy priest say state dummy mass 6
56 2 dummy priest say allege dummy mass 3
57 2 dummy poll show picture dummy support 6
58 2 dummy poll show express dummy support 7
59 2 dummy politician buy purchase dummy election 7
60 2 dummy politician buy bribe dummy election 6
61 2 dummy people write spell dummy letter 6
62 2 dummy people write publish dummy letter 6
63 2 dummy people try test dummy sniffing 6
64 2 dummy member accept bear dummy share 3
65 2 dummy map show picture dummy location 7
66 2 dummy weapon buy purchase dummy chance 6
67 2 dummy user accept receive dummy responsibility 6
68 2 dummy user write spell dummy word 6
69 2 dummy user write publish dummy word 6
70 2 dummy user write spell dummy software 2
71 2 dummy user write publish dummy software 6
72 2 dummy man write publish dummy song 4
73 2 dummy man try test dummy experiment 7
74 2 dummy management accept bear dummy responsibility 6
75 2 dummy man write spell dummy song 5
76 2 dummy map show express dummy area 6
77 2 dummy management accept receive dummy responsibility 3
78 2 dummy map show express dummy location 7
79 2 dummy map show picture dummy area 7
80 2 dummy claimant draw attract dummy benefit 3
81 2 dummy cinema show picture dummy film 4
82 2 dummy teacher write publish dummy book 7
83 2 dummy child show express dummy sign 6
84 2 dummy child show picture dummy interest 2
85 2 dummy child show express dummy interest 4
86 2 dummy child meet visit dummy house 4
87 2 dummy cinema show express dummy film 3
88 2 dummy child write spell dummy word 7
89 2 dummy child write publish dummy word 6
90 2 dummy child show picture dummy sign 5
91 2 dummy people buy bribe dummy product 2
92 2 dummy people buy purchase dummy house 7
93 2 dummy people buy bribe dummy house 2
94 2 dummy patient draw depict dummy figure 6
95 2 dummy people run move dummy company 2
96 2 dummy people buy purchase dummy security 7
97 2 dummy people buy bribe dummy security 3
98 2 dummy people buy purchase dummy product 7
99 2 dummy people run move dummy round 3
100 2 dummy people run operate dummy company 6
101 2 dummy representative meet visit dummy official 6
102 2 dummy river meet satisfy dummy sea 2
103 2 dummy tribunal try test dummy crime 3
104 2 dummy producer say state dummy favour 7
105 2 dummy proposal draw attract dummy criticism 6
106 2 dummy priest say state dummy prayer 7
107 2 dummy producer say allege dummy favour 3
108 2 dummy report draw depict dummy attention 2
109 2 dummy representative meet satisfy dummy official 2
110 2 dummy proposal draw depict dummy criticism 2
111 2 dummy report draw attract dummy attention 6
112 2 dummy man say state dummy success 7
113 2 dummy man try judge dummy experiment 3
114 2 dummy man say state dummy sentence 7
115 2 dummy man say allege dummy success 3
116 2 dummy man provide supply dummy money 7
117 2 dummy man say allege dummy sentence 2
118 2 dummy man draw depict dummy sword 4
119 2 dummy man provide leave dummy money 4
120 2 dummy male draw depict dummy female 5
121 2 dummy man draw attract dummy sword 2
122 2 dummy user accept bear dummy responsibility 6
123 2 dummy member accept receive dummy share 7
124 2 dummy model buy bribe dummy behaviour 2
125 2 dummy model buy purchase dummy behaviour 6
126 2 dummy mother provide leave dummy baby 4
127 2 dummy mother provide supply dummy baby 7
128 2 dummy parent draw attract dummy line 3
129 2 dummy parent draw depict dummy line 5
130 2 dummy patient accept bear dummy treatment 5
131 2 dummy patient accept receive dummy treatment 6
132 2 dummy patient draw attract dummy figure 4
133 2 dummy service meet satisfy dummy need 7
134 2 dummy school provide supply dummy education 7
135 2 dummy scholar write spell dummy book 5
136 2 dummy table show express dummy result 7
137 2 dummy firm buy bribe dummy politician 7
138 2 dummy figure show picture dummy increase 7
139 2 dummy weapon buy bribe dummy chance 5
140 2 dummy family run move dummy hotel 2
141 2 dummy family provide supply dummy home 7
142 2 dummy figure show express dummy increase 7
143 2 dummy family run operate dummy hotel 7
144 2 dummy employer provide leave dummy training 2
145 2 dummy employee buy purchase dummy property 7
146 2 dummy family provide leave dummy home 2
147 2 dummy employer provide supply dummy training 7
148 2 dummy service meet visit dummy need 3
149 2 dummy shareholder accept bear dummy offer 3
150 2 dummy shareholder accept receive dummy offer 7
151 2 dummy shiver run move dummy spine 5
152 2 dummy shiver run operate dummy spine 5
153 2 dummy sight meet satisfy dummy eye 5
154 2 dummy society accept bear dummy charge 5
155 2 dummy society accept receive dummy charge 7
156 2 dummy speaker say allege dummy word 3
157 2 dummy speaker say state dummy word 7
158 2 dummy table show picture dummy result 7
159 2 dummy user run move dummy application 2
160 2 dummy spokesman say state dummy decision 7
161 2 dummy spokesman say allege dummy decision 2
162 2 dummy specialist write spell dummy papers 6
163 2 dummy specialist write publish dummy papers 5
164 2 dummy student write spell dummy name 6
165 2 dummy student write publish dummy name 6
166 2 dummy student meet visit dummy requirement 3
167 2 dummy student meet satisfy dummy requirement 7
168 2 dummy study provide supply dummy evidence 7
169 2 dummy study provide leave dummy evidence 6
170 2 dummy child meet satisfy dummy house 3
171 2 dummy child draw depict dummy picture 4
172 2 dummy beach meet satisfy dummy standard 6
173 2 dummy artist show picture dummy work 3
174 2 dummy artist show express dummy work 4
175 2 dummy child draw attract dummy picture 2
176 2 dummy boy meet visit dummy girl 6
177 2 dummy boy meet satisfy dummy girl 2
178 2 dummy beach meet visit dummy standard 2
179 2 dummy sweat run move dummy face 4
180 2 dummy sweat run operate dummy face 4
181 2 dummy survey say allege dummy recovery 3
182 2 dummy survey say state dummy recovery 6
183 2 dummy supporter buy bribe dummy ticket 3
184 2 dummy supporter buy purchase dummy ticket 7
185 2 dummy study show express dummy correlation 7
186 2 dummy study show picture dummy correlation 7
187 2 dummy study provide leave dummy information 6
188 2 dummy study provide supply dummy information 7
189 2 dummy company provide supply dummy service 7
190 2 dummy court try judge dummy case 7
191 2 dummy claimant draw depict dummy benefit 3
192 2 dummy company provide leave dummy service 5
193 2 dummy court try test dummy offence 5
194 2 dummy demonstrator try judge dummy building 3
195 2 dummy court try test dummy case 6
196 2 dummy court try judge dummy offence 6
197 2 dummy demonstrator try test dummy building 6
198 2 dummy employee buy bribe dummy property 2
199 2 dummy writer write spell dummy book 3
1 3 dummy table draw depict dummy eye 1
2 3 dummy table draw attract dummy eye 1
3 3 dummy system meet visit dummy criterion 1
4 3 dummy system meet satisfy dummy criterion 7
5 3 dummy system meet visit dummy requirement 1
6 3 dummy system meet satisfy dummy requirement 7
7 3 dummy system provide supply dummy facility 7
8 3 dummy system provide leave dummy facility 1
9 3 dummy system run operate dummy application 6
10 3 dummy system run move dummy application 1
11 3 dummy woman draw depict dummy hair 5
12 3 dummy woman draw attract dummy hair 1
13 3 dummy magazine accept bear dummy liability 1
14 3 dummy machine run operate dummy program 6
15 3 dummy machine run move dummy program 1
16 3 dummy lawyer accept receive dummy conviction 3
17 3 dummy lawyer accept bear dummy conviction 1
18 3 dummy justice try test dummy king 1
19 3 dummy justice try judge dummy king 2
20 3 dummy judge try test dummy action 1
21 3 dummy male draw attract dummy female 1
22 3 dummy magazine accept receive dummy liability 2
23 3 dummy teacher write spell dummy book 1
24 3 dummy user run operate dummy application 7
25 3 dummy scholar write publish dummy book 4
26 3 dummy people try test dummy program 5
27 3 dummy people try judge dummy sniffing 3
28 3 dummy runway run operate dummy parallel 1
29 3 dummy people say state dummy success 7
30 3 dummy people try judge dummy door 1
31 3 dummy people try test dummy door 5
32 3 dummy people try judge dummy program 3
33 3 dummy people run operate dummy round 5
34 3 dummy people say allege dummy prayer 1
35 3 dummy people say state dummy prayer 7
36 3 dummy people say allege dummy success 2
37 3 dummy government accept receive dummy recommendation 2
38 3 dummy government provide leave dummy cash 1
39 3 dummy government provide supply dummy cash 7
40 3 dummy investor buy bribe dummy share 1
41 3 dummy firm buy purchase dummy politician 6
42 3 dummy government accept bear dummy proposal 1
43 3 dummy government accept receive dummy proposal 2
44 3 dummy government accept bear dummy recommendation 1
45 3 dummy road run move dummy parallel 1
46 3 dummy writer write publish dummy book 4
47 3 dummy investor buy purchase dummy share 7
48 3 dummy judge try judge dummy action 2
49 3 dummy river meet visit dummy sea 1
50 3 dummy runway run move dummy parallel 1
51 3 dummy school provide leave dummy education 1
52 3 dummy road run operate dummy parallel 1
53 3 dummy tribunal try judge dummy crime 3
54 3 dummy priest say allege dummy prayer 1
55 3 dummy priest say state dummy mass 7
56 3 dummy priest say allege dummy mass 1
57 3 dummy poll show picture dummy support 2
58 3 dummy poll show express dummy support 7
59 3 dummy politician buy purchase dummy election 6
60 3 dummy politician buy bribe dummy election 6
61 3 dummy people write spell dummy letter 3
62 3 dummy people write publish dummy letter 4
63 3 dummy people try test dummy sniffing 5
64 3 dummy member accept bear dummy share 1
65 3 dummy map show picture dummy location 4
66 3 dummy weapon buy purchase dummy chance 7
67 3 dummy user accept receive dummy responsibility 1
68 3 dummy user write spell dummy word 6
69 3 dummy user write publish dummy word 2
70 3 dummy user write spell dummy software 1
71 3 dummy user write publish dummy software 3
72 3 dummy man write publish dummy song 2
73 3 dummy man try test dummy experiment 4
74 3 dummy management accept bear dummy responsibility 1
75 3 dummy man write spell dummy song 1
76 3 dummy map show express dummy area 1
77 3 dummy management accept receive dummy responsibility 2
78 3 dummy map show express dummy location 1
79 3 dummy map show picture dummy area 5
80 3 dummy claimant draw attract dummy benefit 1
81 3 dummy cinema show picture dummy film 1
82 3 dummy teacher write publish dummy book 4
83 3 dummy child show express dummy sign 1
84 3 dummy child show picture dummy interest 1
85 3 dummy child show express dummy interest 7
86 3 dummy child meet visit dummy house 5
87 3 dummy cinema show express dummy film 1
88 3 dummy child write spell dummy word 5
89 3 dummy child write publish dummy word 3
90 3 dummy child show picture dummy sign 1
91 3 dummy people buy bribe dummy product 1
92 3 dummy people buy purchase dummy house 7
93 3 dummy people buy bribe dummy house 1
94 3 dummy patient draw depict dummy figure 5
95 3 dummy people run move dummy company 1
96 3 dummy people buy purchase dummy security 7
97 3 dummy people buy bribe dummy security 1
98 3 dummy people buy purchase dummy product 7
99 3 dummy people run move dummy round 1
100 3 dummy people run operate dummy company 7
101 3 dummy representative meet visit dummy official 6
102 3 dummy river meet satisfy dummy sea 1
103 3 dummy tribunal try test dummy crime 1
104 3 dummy producer say state dummy favour 7
105 3 dummy proposal draw attract dummy criticism 7
106 3 dummy priest say state dummy prayer 7
107 3 dummy producer say allege dummy favour 1
108 3 dummy report draw depict dummy attention 1
109 3 dummy representative meet satisfy dummy official 1
110 3 dummy proposal draw depict dummy criticism 1
111 3 dummy report draw attract dummy attention 7
112 3 dummy man say state dummy success 7
113 3 dummy man try judge dummy experiment 1
114 3 dummy man say state dummy sentence 7
115 3 dummy man say allege dummy success 2
116 3 dummy man provide supply dummy money 7
117 3 dummy man say allege dummy sentence 1
118 3 dummy man draw depict dummy sword 1
119 3 dummy man provide leave dummy money 1
120 3 dummy male draw depict dummy female 5
121 3 dummy man draw attract dummy sword 1
122 3 dummy user accept bear dummy responsibility 1
123 3 dummy member accept receive dummy share 6
124 3 dummy model buy bribe dummy behaviour 1
125 3 dummy model buy purchase dummy behaviour 7
126 3 dummy mother provide leave dummy baby 1
127 3 dummy mother provide supply dummy baby 6
128 3 dummy parent draw attract dummy line 1
129 3 dummy parent draw depict dummy line 3
130 3 dummy patient accept bear dummy treatment 1
131 3 dummy patient accept receive dummy treatment 6
132 3 dummy patient draw attract dummy figure 1
133 3 dummy service meet satisfy dummy need 7
134 3 dummy school provide supply dummy education 7
135 3 dummy scholar write spell dummy book 1
136 3 dummy table show express dummy result 7
137 3 dummy firm buy bribe dummy politician 7
138 3 dummy figure show picture dummy increase 1
139 3 dummy weapon buy bribe dummy chance 1
140 3 dummy family run move dummy hotel 1
141 3 dummy family provide supply dummy home 7
142 3 dummy figure show express dummy increase 2
143 3 dummy family run operate dummy hotel 7
144 3 dummy employer provide leave dummy training 1
145 3 dummy employee buy purchase dummy property 7
146 3 dummy family provide leave dummy home 1
147 3 dummy employer provide supply dummy training 7
148 3 dummy service meet visit dummy need 1
149 3 dummy shareholder accept bear dummy offer 1
150 3 dummy shareholder accept receive dummy offer 4
151 3 dummy shiver run move dummy spine 1
152 3 dummy shiver run operate dummy spine 1
153 3 dummy sight meet satisfy dummy eye 3
154 3 dummy society accept bear dummy charge 1
155 3 dummy society accept receive dummy charge 4
156 3 dummy speaker say allege dummy word 1
157 3 dummy speaker say state dummy word 7
158 3 dummy table show picture dummy result 5
159 3 dummy user run move dummy application 1
160 3 dummy spokesman say state dummy decision 7
161 3 dummy spokesman say allege dummy decision 1
162 3 dummy specialist write spell dummy papers 1
163 3 dummy specialist write publish dummy papers 4
164 3 dummy student write spell dummy name 5
165 3 dummy student write publish dummy name 3
166 3 dummy student meet visit dummy requirement 1
167 3 dummy student meet satisfy dummy requirement 7
168 3 dummy study provide supply dummy evidence 7
169 3 dummy study provide leave dummy evidence 1
170 3 dummy child meet satisfy dummy house 1
171 3 dummy child draw depict dummy picture 1
172 3 dummy beach meet satisfy dummy standard 7
173 3 dummy artist show picture dummy work 1
174 3 dummy artist show express dummy work 1
175 3 dummy child draw attract dummy picture 1
176 3 dummy boy meet visit dummy girl 5
177 3 dummy boy meet satisfy dummy girl 1
178 3 dummy beach meet visit dummy standard 1
179 3 dummy sweat run move dummy face 1
180 3 dummy sweat run operate dummy face 1
181 3 dummy survey say allege dummy recovery 1
182 3 dummy survey say state dummy recovery 7
183 3 dummy supporter buy bribe dummy ticket 1
184 3 dummy supporter buy purchase dummy ticket 7
185 3 dummy study show express dummy correlation 6
186 3 dummy study show picture dummy correlation 5
187 3 dummy study provide leave dummy information 1
188 3 dummy study provide supply dummy information 7
189 3 dummy company provide supply dummy service 7
190 3 dummy court try judge dummy case 5
191 3 dummy claimant draw depict dummy benefit 1
192 3 dummy company provide leave dummy service 1
193 3 dummy court try test dummy offence 1
194 3 dummy demonstrator try judge dummy building 1
195 3 dummy court try test dummy case 1
196 3 dummy court try judge dummy offence 5
197 3 dummy demonstrator try test dummy building 1
198 3 dummy employee buy bribe dummy property 1
199 3 dummy writer write spell dummy book 1
1 4 dummy table draw depict dummy eye 3
2 4 dummy table draw attract dummy eye 6
3 4 dummy system meet visit dummy criterion 1
4 4 dummy system meet satisfy dummy criterion 7
5 4 dummy system meet visit dummy requirement 2
6 4 dummy system meet satisfy dummy requirement 6
7 4 dummy system provide supply dummy facility 6
8 4 dummy system provide leave dummy facility 2
9 4 dummy system run operate dummy application 6
10 4 dummy system run move dummy application 4
11 4 dummy woman draw depict dummy hair 6
12 4 dummy woman draw attract dummy hair 1
13 4 dummy magazine accept bear dummy liability 5
14 4 dummy machine run operate dummy program 6
15 4 dummy machine run move dummy program 2
16 4 dummy lawyer accept receive dummy conviction 3
17 4 dummy lawyer accept bear dummy conviction 5
18 4 dummy justice try test dummy king 2
19 4 dummy justice try judge dummy king 5
20 4 dummy judge try test dummy action 2
21 4 dummy male draw attract dummy female 5
22 4 dummy magazine accept receive dummy liability 4
23 4 dummy teacher write spell dummy book 2
24 4 dummy user run operate dummy application 6
25 4 dummy scholar write publish dummy book 2
26 4 dummy people try test dummy program 6
27 4 dummy people try judge dummy sniffing 1
28 4 dummy runway run operate dummy parallel 3
29 4 dummy people say state dummy success 6
30 4 dummy people try judge dummy door 3
31 4 dummy people try test dummy door 7
32 4 dummy people try judge dummy program 5
33 4 dummy people run operate dummy round 5
34 4 dummy people say allege dummy prayer 3
35 4 dummy people say state dummy prayer 7
36 4 dummy people say allege dummy success 4
37 4 dummy government accept receive dummy recommendation 2
38 4 dummy government provide leave dummy cash 3
39 4 dummy government provide supply dummy cash 7
40 4 dummy investor buy bribe dummy share 3
41 4 dummy firm buy purchase dummy politician 6
42 4 dummy government accept bear dummy proposal 3
43 4 dummy government accept receive dummy proposal 2
44 4 dummy government accept bear dummy recommendation 4
45 4 dummy road run move dummy parallel 2
46 4 dummy writer write publish dummy book 2
47 4 dummy investor buy purchase dummy share 7
48 4 dummy judge try judge dummy action 6
49 4 dummy river meet visit dummy sea 2
50 4 dummy runway run move dummy parallel 2
51 4 dummy school provide leave dummy education 1
52 4 dummy road run operate dummy parallel 4
53 4 dummy tribunal try judge dummy crime 5
54 4 dummy priest say allege dummy prayer 2
55 4 dummy priest say state dummy mass 2
56 4 dummy priest say allege dummy mass 1
57 4 dummy poll show picture dummy support 6
58 4 dummy poll show express dummy support 7
59 4 dummy politician buy purchase dummy election 6
60 4 dummy politician buy bribe dummy election 5
61 4 dummy people write spell dummy letter 2
62 4 dummy people write publish dummy letter 3
63 4 dummy people try test dummy sniffing 5
64 4 dummy member accept bear dummy share 4
65 4 dummy map show picture dummy location 5
66 4 dummy weapon buy purchase dummy chance 6
67 4 dummy user accept receive dummy responsibility 2
68 4 dummy user write spell dummy word 3
69 4 dummy user write publish dummy word 2
70 4 dummy user write spell dummy software 2
71 4 dummy user write publish dummy software 2
72 4 dummy man write publish dummy song 2
73 4 dummy man try test dummy experiment 6
74 4 dummy management accept bear dummy responsibility 4
75 4 dummy man write spell dummy song 2
76 4 dummy map show express dummy area 5
77 4 dummy management accept receive dummy responsibility 4
78 4 dummy map show express dummy location 5
79 4 dummy map show picture dummy area 6
80 4 dummy claimant draw attract dummy benefit 2
81 4 dummy cinema show picture dummy film 4
82 4 dummy teacher write publish dummy book 2
83 4 dummy child show express dummy sign 4
84 4 dummy child show picture dummy interest 2
85 4 dummy child show express dummy interest 7
86 4 dummy child meet visit dummy house 5
87 4 dummy cinema show express dummy film 4
88 4 dummy child write spell dummy word 5
89 4 dummy child write publish dummy word 5
90 4 dummy child show picture dummy sign 2
91 4 dummy people buy bribe dummy product 2
92 4 dummy people buy purchase dummy house 7
93 4 dummy people buy bribe dummy house 2
94 4 dummy patient draw depict dummy figure 6
95 4 dummy people run move dummy company 2
96 4 dummy people buy purchase dummy security 7
97 4 dummy people buy bribe dummy security 6
98 4 dummy people buy purchase dummy product 7
99 4 dummy people run move dummy round 2
100 4 dummy people run operate dummy company 6
101 4 dummy representative meet visit dummy official 6
